instance,pr_url,trajs_3_5,trajs_3_7
clap-rs__clap-3974,https://github.com/clap-rs/clap/pull/3974,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-3974/Claude-3.5-Sonnet(Oct)-1742667603.8216176.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-3974/Claude-3.7-Sonnet-1742848041.510205.json
BurntSushi__ripgrep-1367,https://github.com/BurntSushi/ripgrep/pull/1367,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/BurntSushi__ripgrep-1367/Claude-3.5-Sonnet(Oct)-1742728011.522673.json,
tokio-rs__bytes-547,https://github.com/tokio-rs/bytes/pull/547,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__bytes-547/Claude-3.7-Sonnet-1742855019.3663442.json
sharkdp__fd-555,https://github.com/sharkdp/fd/pull/555,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/sharkdp__fd-555/Claude-3.7-Sonnet-1742858061.6921546.json
tokio-rs__tokio-5179,https://github.com/tokio-rs/tokio/pull/5179,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tokio-5179/Claude-3.7-Sonnet-1742859714.5472856.json
clap-rs__clap-2773,https://github.com/clap-rs/clap/pull/2773,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-2773/Claude-3.5-Sonnet(Oct)-1742722803.791406.json,
sharkdp__fd-1162,https://github.com/sharkdp/fd/pull/1162,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/sharkdp__fd-1162/Claude-3.5-Sonnet(Oct)-1742730854.7584684.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/sharkdp__fd-1162/Claude-3.7-Sonnet-1742857229.2900655.json
clap-rs__clap-2329,https://github.com/clap-rs/clap/pull/2329,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2329/Claude-3.7-Sonnet-1742852020.1953385.json
clap-rs__clap-2310,https://github.com/clap-rs/clap/pull/2310,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2310/Claude-3.7-Sonnet-1742852138.5887468.json
clap-rs__clap-1869,https://github.com/clap-rs/clap/pull/1869,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-1869/Claude-3.7-Sonnet-1742853292.5797086.json
clap-rs__clap-2611,https://github.com/clap-rs/clap/pull/2611,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2611/Claude-3.7-Sonnet-1742851583.8626938.json
clap-rs__clap-2534,https://github.com/clap-rs/clap/pull/2534,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-2534/Claude-3.5-Sonnet(Oct)-1742724451.9892232.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2534/Claude-3.7-Sonnet-1742851272.1080494.json
tokio-rs__tokio-5781,https://github.com/tokio-rs/tokio/pull/5781,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tokio-5781/Claude-3.5-Sonnet(Oct)-1742733942.4240937.json,
nushell__nushell-10381,https://github.com/nushell/nushell/pull/10381,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/nushell__nushell-10381/Claude-3.5-Sonnet(Oct)-1742737881.0497262.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/nushell__nushell-10381/Claude-3.7-Sonnet-1742862929.8461297.json
tokio-rs__tokio-4519,https://github.com/tokio-rs/tokio/pull/4519,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tokio-4519/Claude-3.5-Sonnet(Oct)-1742734223.659245.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tokio-4519/Claude-3.7-Sonnet-1742859838.5816216.json
clap-rs__clap-2895,https://github.com/clap-rs/clap/pull/2895,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2895/Claude-3.7-Sonnet-1742849925.238127.json
clap-rs__clap-4006,https://github.com/clap-rs/clap/pull/4006,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-4006/Claude-3.7-Sonnet-1742847619.7800252.json
clap-rs__clap-3334,https://github.com/clap-rs/clap/pull/3334,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-3334/Claude-3.7-Sonnet-1742849315.206336.json
BurntSushi__ripgrep-454,https://github.com/BurntSushi/ripgrep/pull/454,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/BurntSushi__ripgrep-454/Claude-3.5-Sonnet(Oct)-1742727936.4503255.json,
sharkdp__fd-658,https://github.com/sharkdp/fd/pull/658,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/sharkdp__fd-658/Claude-3.5-Sonnet(Oct)-1742731525.9512959.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/sharkdp__fd-658/Claude-3.7-Sonnet-1742857760.4610455.json
sharkdp__fd-1394,https://github.com/sharkdp/fd/pull/1394,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/sharkdp__fd-1394/Claude-3.5-Sonnet(Oct)-1742730848.0518923.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/sharkdp__fd-1394/Claude-3.7-Sonnet-1742857062.7377338.json
tokio-rs__bytes-732,https://github.com/tokio-rs/bytes/pull/732,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__bytes-732/Claude-3.7-Sonnet-1742854789.1688967.json
tokio-rs__tokio-6252,https://github.com/tokio-rs/tokio/pull/6252,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tokio-6252/Claude-3.5-Sonnet(Oct)-1742733177.8489513.json,
clap-rs__clap-941,https://github.com/clap-rs/clap/pull/941,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-941/Claude-3.5-Sonnet(Oct)-1742726718.4308205.json,
BurntSushi__ripgrep-2209,https://github.com/BurntSushi/ripgrep/pull/2209,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/BurntSushi__ripgrep-2209/Claude-3.7-Sonnet-1742854485.51096.json
tokio-rs__tracing-2897,https://github.com/tokio-rs/tracing/pull/2897,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tracing-2897/Claude-3.7-Sonnet-1742855097.5827487.json
BurntSushi__ripgrep-1294,https://github.com/BurntSushi/ripgrep/pull/1294,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/BurntSushi__ripgrep-1294/Claude-3.7-Sonnet-1742854527.9737866.json
tokio-rs__tracing-1236,https://github.com/tokio-rs/tracing/pull/1236,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tracing-1236/Claude-3.5-Sonnet(Oct)-1742729627.07014.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tracing-1236/Claude-3.7-Sonnet-1742856157.325424.json
BurntSushi__ripgrep-727,https://github.com/BurntSushi/ripgrep/pull/727,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/BurntSushi__ripgrep-727/Claude-3.7-Sonnet-1742854453.1012692.json
clap-rs__clap-4902,https://github.com/clap-rs/clap/pull/4902,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-4902/Claude-3.5-Sonnet(Oct)-1742665044.4827833.json,
tokio-rs__tokio-5244,https://github.com/tokio-rs/tokio/pull/5244,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tokio-5244/Claude-3.5-Sonnet(Oct)-1742733502.5492485.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tokio-5244/Claude-3.7-Sonnet-1742859430.4981263.json
tokio-rs__tokio-5144,https://github.com/tokio-rs/tokio/pull/5144,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tokio-5144/Claude-3.5-Sonnet(Oct)-1742733946.5546453.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tokio-5144/Claude-3.7-Sonnet-1742859825.417342.json
clap-rs__clap-2669,https://github.com/clap-rs/clap/pull/2669,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-2669/Claude-3.5-Sonnet(Oct)-1742723793.7171316.json,
clap-rs__clap-2529,https://github.com/clap-rs/clap/pull/2529,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2529/Claude-3.7-Sonnet-1742851601.444666.json
rayon-rs__rayon-986,https://github.com/rayon-rs/rayon/pull/986,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/rayon-rs__rayon-986/Claude-3.5-Sonnet(Oct)-1742731183.5338376.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/rayon-rs__rayon-986/Claude-3.7-Sonnet-1742856864.6118636.json
clap-rs__clap-4474,https://github.com/clap-rs/clap/pull/4474,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-4474/Claude-3.5-Sonnet(Oct)-1742665870.84504.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-4474/Claude-3.7-Sonnet-1742846240.865646.json
sharkdp__fd-1079,https://github.com/sharkdp/fd/pull/1079,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/sharkdp__fd-1079/Claude-3.7-Sonnet-1742857305.8278716.json
clap-rs__clap-1624,https://github.com/clap-rs/clap/pull/1624,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-1624/Claude-3.5-Sonnet(Oct)-1742726998.7620554.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-1624/Claude-3.7-Sonnet-1742854059.970024.json
tokio-rs__tokio-6618,https://github.com/tokio-rs/tokio/pull/6618,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tokio-6618/Claude-3.5-Sonnet(Oct)-1742732356.9151993.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tokio-6618/Claude-3.7-Sonnet-1742858399.4894207.json
